class	ending	s0	name	value	target	trial_type	prompt	stimulus	choices
bizalmas	ec	Ez egy sapec.	s2	Elneveztem a kutyámat sapecnak.	sapec	dat	<p>Ez egy sapec. Elneveztem a kutyámat sapecnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">sapec</p>	
bizalmas	ec	Ez egy moplec.	s1	Azok ott moplecok.	moplec	dat	<p>Ez egy moplec. Azok ott moplecok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">moplec</p>	
bizalmas	ec	Ez egy moplec.	s2	Elneveztem a kutyámat moplecnak.	moplec	dat	<p>Ez egy moplec. Elneveztem a kutyámat moplecnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">moplec</p>	
bizalmas	el	Ez egy forrel.	s1	Azok ott forrelok.	forrel	dat	<p>Ez egy forrel. Azok ott forrelok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">forrel</p>	
bizalmas	el	Ez egy forrel.	s2	Elneveztem a kutyámat forrelnak.	forrel	dat	<p>Ez egy forrel. Elneveztem a kutyámat forrelnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">forrel</p>	
bizalmas	el	Ez egy sudel.	s1	Azok ott sudelok.	sudel	dat	<p>Ez egy sudel. Azok ott sudelok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">sudel</p>	
bizalmas	el	Ez egy sudel.	s2	Elneveztem a kutyámat sudelnak.	sudel	dat	<p>Ez egy sudel. Elneveztem a kutyámat sudelnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">sudel</p>	
bizalmas	el	Ez egy kranel.	s1	Azok ott kranelok.	kranel	dat	<p>Ez egy kranel. Azok ott kranelok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kranel</p>	
bizalmas	el	Ez egy kranel.	s2	Elneveztem a kutyámat kranelnak.	kranel	dat	<p>Ez egy kranel. Elneveztem a kutyámat kranelnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">kranel</p>	
bizalmas	el	Ez egy hacel.	s1	Azok ott hacelok.	hacel	dat	<p>Ez egy hacel. Azok ott hacelok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">hacel</p>	
bizalmas	el	Ez egy hacel.	s2	Elneveztem a kutyámat hacelnak.	hacel	dat	<p>Ez egy hacel. Elneveztem a kutyámat hacelnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">hacel</p>	
bizalmas	el	Ez egy hodel.	s1	Azok ott hodelok.	hodel	dat	<p>Ez egy hodel. Azok ott hodelok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">hodel</p>	
bizalmas	el	Ez egy hodel.	s2	Elneveztem a kutyámat hodelnak.	hodel	dat	<p>Ez egy hodel. Elneveztem a kutyámat hodelnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">hodel</p>	
